run_id,model,method,task,context,f1,primary_cause,secondary_cause,failure_scope,confidence,direct_evidence,review_status
full-claude-haiku-4.5-tier3-task17-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task17,500,0.0,interface_action_not_executed,heuristic_structural_proxy,model_execution,high,"The response placed Python inside an unsupported bash invoke wrapper; no tool observation followed, yet it returned 16 indices. Its hand-written fused-ring SMARTS had zero overlap with 21 seeded positives.",reviewed
full-claude-haiku-4.5-tier3-task21-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task21,500,0.0,interface_action_not_executed,pseudo_execution_claim,model_execution,high,"Six unsupported python invoke blocks produced no observations. The response then stated that the code worked and returned indices 17--122; none overlapped the 102 seeded positives.",reviewed
full-claude-haiku-4.5-tier3-task22-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task22,500,0.0,heuristic_structural_proxy,incorrect_reagent_representation,scientific,high,"The executed program searched for literal HATU PF6 and T3P names. It displayed the HATU cation and PF6 as SMILES, recognized that possibility in prose, but still returned no matches against 20 positives.",reviewed
full-claude-haiku-4.5-tier4-task17-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier4/task17,full,0.0,provider_or_transport_failure,missing_final_answer,infrastructure,high,"One subproblem records connection refused to the Docker-host model endpoint; another response says the answer is stored in a variable but does not emit it. The resulting family counts are mostly zero or one.",reviewed
full-deepseek-v4-flash-tier3-task15-codeact-x500-r03,DeepSeek V4 Flash,codeact,tier3/task15,500,0.0,invalid_or_misused_chemistry_code,missing_atom_correspondence,model_execution,high,"The trace explicitly identifies atom correspondence as necessary, cycles through canonical ranks and MCS heuristics, and calls nonexistent Atom.GetBondsWith. It never establishes a valid mapping and returns no correct bond-change indices.",reviewed
full-deepseek-v4-flash-tier4-task12b-codeact-x500-r01,DeepSeek V4 Flash,codeact,tier4/task12b,500,0.0,input_parsing_failure,invalid_rdkit_import,model_execution,high,"The first program imports nonexistent CanonicalRanker. Later parsing applies int() to an index field that still contains reaction text and repeatedly obtains zero records, so graph traversal never begins.",reviewed
full-deepseek-v4-flash-tier4-task14-codeact-x500-r03,DeepSeek V4 Flash,codeact,tier4/task14,500,0.03333333333333333,heuristic_structural_proxy,repeated_strategy_without_validation,scientific,medium,"The trace repeatedly regenerates fixed Boc and benzyl-group candidate rules and returns 17 installation/removal pairs for a context containing one scored pair; none of the reported pairs matches it.",reviewed
full-deepseek-v4-flash-tier3-task10b-rlm-xfull-r03,DeepSeek V4 Flash,rlm,tier3/task10b,full,0.0,invalid_or_misused_chemistry_code,delegation_or_aggregation_failure,model_execution,high,"The trace records an RDKit precondition violation, a missing rdChemReactions module, and nonexistent NeedsAtomMap. It later launches yes/no validation subcalls but does not preserve their decisions in the final set; alpha-ketone bromination is returned empty.",reviewed
full-gpt-5-mini-tier3-task17-codeact-x500-r01,GPT-5 mini,codeact,tier3/task17,500,0.0,heuristic_structural_proxy,representation_brittleness,scientific,high,"The program hard-codes protonation- and tautomer-specific SMARTS for four fused heterocycles and returns zero reactions although all 21 positives are seeded in context.",reviewed
full-gpt-5-mini-tier3-task22-codeact-x500-r01,GPT-5 mini,codeact,tier3/task22,500,0.0,heuristic_structural_proxy,incorrect_reagent_representation,scientific,high,"The program searches the reagent SMILES for literal HATU PF6 and T3P tokens, then concludes that no reagent is present. The scored context contains 20 positives represented structurally.",reviewed
