run_id,model,method,task,question_id,signature,corrected_f1,corrected_precision,corrected_recall,predicted_count,ground_truth_count,recovery
full-claude-haiku-4.5-tier3-task10-codeact-x100-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.35294117647058826,0.25,0.6,12,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.0,0.0,0.0,3,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.33333333333333337,1.0,0.2,1,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,omissions only,0.5714285714285715,1.0,0.4,2,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.4,0.3,0.6,10,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.5714285714285715,1.0,0.4,2,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,mixed omissions and extras,0.6666666666666665,0.75,0.6,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.17647058823529413,0.10344827586206896,0.6,29,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.7499999999999999,1.0,0.6,3,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.5714285714285715,1.0,0.4,2,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,mixed omissions and extras,0.6666666666666665,0.75,0.6,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.3333333333333333,0.2857142857142857,0.4,7,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,codeact-answer-line
