model,model_label,condition,repetition,target,canonical_question_id,f1,precision,recall,exact_match,ground_truth_chain_count,parsed_chain_count,valid_chain_count,false_positive_chain_count,run_id
anthropic/claude-haiku-4.5,Claude,name_only,1,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,2,0,2,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,name_only,1,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,1000001,0,1000001,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,name_only,1,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,name_only,2,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,name_only,2,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,name_only,2,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,name_only,3,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,888,0,888,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,name_only,3,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,50000,0,50000,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,name_only,3,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.7843137254901961,1.0,0.6451612903225806,0.0,31,237701,20,237681,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,name_only,4,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,2,0,2,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,name_only,4,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,2,0,2,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,name_only,4,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,name_only,5,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,name_only,5,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,0,0,0,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,name_only,5,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,5,0,5,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,structure_only,1,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,1,0,1,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,structure_only,1,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,5482792,0,5482792,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,structure_only,1,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,structure_only,2,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,structure_only,2,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,structure_only,2,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r02
anthropic/claude-haiku-4.5,Claude,structure_only,3,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,structure_only,3,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,structure_only,3,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r03
anthropic/claude-haiku-4.5,Claude,structure_only,4,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,42,0,42,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,structure_only,4,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,structure_only,4,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,1,0,1,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r04
anthropic/claude-haiku-4.5,Claude,structure_only,5,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,0.0,0.0,0.0,0.0,12,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,structure_only,5,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,704,0,704,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,structure_only,5,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r05
anthropic/claude-haiku-4.5,Claude,structure_plus_class,1,benzamide_pyrazole,rxh-t4-task16-benzamide-pyrazole,1.0,1.0,1.0,1.0,12,12,12,0,prospective-claude-haiku-4.5-task16-structure_plus_class-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,structure_plus_class,1,lactam_dipeptide,rxh-t4-task16-lactam-dipeptide,0.0,0.0,0.0,0.0,10,2,0,2,prospective-claude-haiku-4.5-task16-structure_plus_class-rlm-xfull-r01
anthropic/claude-haiku-4.5,Claude,structure_plus_class,1,pyrimidine_piperazine,rxh-t4-task16-pyrimidine-piperazine,0.0,0.0,0.0,0.0,31,0,0,0,prospective-claude-haiku-4.5-task16-structure_plus_class-rlm-xfull-r01
