scope,model,model_label,method,expected_jobs,succeeded_jobs,running_jobs,stale_jobs,failed_jobs,pending_jobs,scored_success_jobs,unscored_success_jobs,is_final,legend_label,note
codeact_x1000,deepseek-v4-flash,DeepSeek V4 Flash,codeact,150,85,0,0,65,0,85,0,True,Codeact,terminal and scored
codeact_x1000,gemini-3.7-flash,Gemini 3.7 Flash,codeact,150,150,0,0,0,0,150,0,True,Codeact,terminal and scored
codeact_x1000,gpt-5-mini,GPT-5 mini,codeact,150,89,0,0,61,0,89,0,True,Codeact,terminal and scored
full_benchmark,qwen3.5,Qwen 3.5,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,qwen3.5,Qwen 3.5,codeact,300,300,0,0,0,0,300,0,True,Codeact,terminal and scored
full_benchmark,qwen3.5,Qwen 3.5,rlm,450,449,0,0,1,0,449,0,True,Rlm,terminal and scored
full_benchmark,deepseek-v4-flash,DeepSeek V4 Flash,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,deepseek-v4-flash,DeepSeek V4 Flash,codeact,300,269,0,0,31,0,269,0,True,Codeact,terminal and scored
full_benchmark,deepseek-v4-flash,DeepSeek V4 Flash,rlm,450,447,2,0,1,0,447,0,False,Rlm,"2 running, stale, pending, or unscored"
full_benchmark,glm-5.2,GLM 5.2,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,glm-5.2,GLM 5.2,codeact,300,0,0,0,1,299,0,0,False,Codeact,"299 running, stale, pending, or unscored"
full_benchmark,glm-5.2,GLM 5.2,rlm,450,381,0,0,39,30,381,0,False,Rlm,"30 running, stale, pending, or unscored"
full_benchmark,gemini-3.7-flash,Gemini 3.7 Flash,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,gemini-3.7-flash,Gemini 3.7 Flash,codeact,300,300,0,0,0,0,300,0,True,Codeact,terminal and scored
full_benchmark,gemini-3.7-flash,Gemini 3.7 Flash,rlm,450,447,0,0,3,0,447,0,True,Rlm,terminal and scored
full_benchmark,gpt-5-mini,GPT-5 mini,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,gpt-5-mini,GPT-5 mini,codeact,300,300,0,0,0,0,300,0,True,Codeact,terminal and scored
full_benchmark,gpt-5-mini,GPT-5 mini,rlm,450,450,0,0,0,0,450,0,True,Rlm,terminal and scored
full_benchmark,claude-haiku-4.5,Claude Haiku 4.5,llm,300,300,0,0,0,0,300,0,True,LLM,terminal and scored
full_benchmark,claude-haiku-4.5,Claude Haiku 4.5,codeact,300,300,0,0,0,0,300,0,True,Codeact,terminal and scored
full_benchmark,claude-haiku-4.5,Claude Haiku 4.5,rlm,450,450,0,0,0,0,450,0,True,Rlm,terminal and scored
rlm_x1000,deepseek-v4-flash,DeepSeek V4 Flash,rlm,150,150,0,0,0,0,150,0,True,Rlm,terminal and scored
rlm_x1000,gemini-3.7-flash,Gemini 3.7 Flash,rlm,150,137,0,0,13,0,137,0,True,Rlm,terminal and scored
